Default,Loan Amount,term,Interest Rate,Installment,Grade,Sub-Grade,Employment Title,Employment Length,Home Ownership,Annual Income,Verified Income,Issue Date,Loan Status,Payment Plan,purpose,title,Zip Code,State,Monthly Debt to Income Ratio,Delinquencies Over 2 Years,Earliest Credit Line,Inquiries Last 6 Months,Months Since Last Delinquincy,Months Since Last Public Record,Open Credit Lines,Derogatory Public Records,Credit Revolving Balance,Credit Utilization Rate,Total Credit Lines,last_pymnt_d,last_pymnt_amnt,next_pymnt_d,last_credit_pull_d,collections_12_mths_ex_med,mths_since_last_major_derog,application_type,annual_inc_joint,dti_joint,verification_status_joint,acc_now_delinq,tot_coll_amt,tot_cur_bal,open_acc_6m,open_il_6m,open_il_12m,open_il_24m,mths_since_rcnt_il,total_bal_il,il_util,open_rv_12m,open_rv_24m,max_bal_bc,all_util,total_rev_hi_lim,inq_fi,total_cu_tl,inq_last_12m,acc_open_past_24mths,avg_cur_bal,bc_open_to_buy,bc_util,chargeoff_within_12_mths,delinq_amnt,mo_sin_old_il_acct,mo_sin_old_rev_tl_op,mo_sin_rcnt_rev_tl_op,mo_sin_rcnt_tl,mort_acc,mths_since_recent_bc,mths_since_recent_bc_dlq,mths_since_recent_inq,mths_since_recent_revol_delinq,num_accts_ever_120_pd,num_actv_bc_tl,num_actv_rev_tl,num_bc_sats,num_bc_tl,num_il_tl,num_op_rev_tl,num_rev_accts,num_rev_tl_bal_gt_0,num_sats,num_tl_120dpd_2m,num_tl_30dpd,num_tl_90g_dpd_24m,num_tl_op_past_12m,pct_tl_nvr_dlq,percent_bc_gt_75,pub_rec_bankruptcies,tax_liens,tot_hi_cred_lim,total_bal_ex_mort,total_bc_limit,total_il_high_credit_limit
N,21775, 36 months,0.10,700.07,B,B3,"Owner, Office Manager",2 years,MORTGAGE,100000,Not Verified,16-Apr,Fully Paid,n,small_business,Business,303xx,GA,9.02,0,7-May,0,74,,7,0,300,0.02,19,16-Jul,21007.69,,16-Dec,0,79,INDIVIDUAL,,,,0,0,188275,0,2,0,1,18,33420,69,1,1,300,50,18500,4,1,2,4,26896,12700,2.3,0,0,92,107,9,9,2,31,74,9,74,3,1,1,3,5,8,4,9,1,7,0,0,0,2,73.7,0,0,0,224007,33720,13000,48757
N,13200, 36 months,0.18,478.87,D,D3,Chef,< 1 year,RENT,30000,Not Verified,16-Apr,Fully Paid,n,small_business,Business,115xx,NY,5.93,0,6-Sep,0,,,9,0,4939,0.10,14,16-Jul,348.77,,16-Jul,0,,INDIVIDUAL,,,,0,4453,31813,0,6,0,0,44,26874,105,0,1,2729,41,52000,0,0,0,1,3535,47061,9.5,0,0,82,115,18,18,0,18,,,,0,2,2,3,5,9,3,5,2,9,0,0,0,0,100,0,0,0,77542,31813,52000,25542
N,35000, 36 months,0.21,1321.87,E,E3,UX Design Lead,< 1 year,RENT,150000,Verified,16-Apr,Fully Paid,n,small_business,Business,100xx,NY,5.69,0,3-Jan,0,,,9,0,19401,0.62,19,16-Jul,2698.02,,16-Jul,0,,INDIVIDUAL,,,,0,0,61827,0,1,0,0,26,42426,,1,1,9540,62,31400,0,0,1,1,6870,5699,77.3,0,0,157,159,12,12,0,12,,12,,0,4,4,5,7,3,8,16,4,9,0,0,0,1,100,60,0,0,65508,61827,25100,34108
Y,5000, 36 months,0.14,170.09,C,C3,Hair Stylist,10+ years,RENT,67000,Not Verified,16-Mar,Charged Off,n,small_business,Business,336xx,FL,22.05,0,Feb-92,0,37,,12,0,25432,0.83,24,16-Jul,170.09,,16-Dec,0,,INDIVIDUAL,,,,0,0,29318,0,1,0,2,14,3886,65,1,5,3526,80,30800,1,0,2,7,2443,5022,67.4,0,0,289,213,7,7,0,7,,7,37,0,7,11,7,11,8,11,16,11,12,0,0,0,1,95.8,85.7,0,0,36800,29318,15400,6000
Y,20000, 36 months,0.10,643,B,B3,Human Resources,1 year,RENT,195000,Source Verified,16-Mar,Charged Off,n,small_business,Business,902xx,CA,11.27,1,Jul-88,0,14,,19,0,34477,0.43,34,16-Jul,643,,16-Dec,0,,INDIVIDUAL,,,,0,0,91229,1,3,1,3,9,56752,85,3,4,14633,62,80700,0,1,0,7,6516,41411,44.9,0,0,137,332,3,3,1,12,14,,14,0,4,6,8,14,6,16,25,6,19,0,0,0,4,97.1,42.9,0,0,147772,91229,75100,67072
N,18200, 36 months,0.16,642.47,D,D1,teacher,10+ years,MORTGAGE,105000,Not Verified,16-Mar,Fully Paid,n,small_business,Business,434xx,OH,12.13,4,Sep-95,3,14,,9,0,13875,0.90,19,16-Jul,17408.48,,16-Aug,0,56,INDIVIDUAL,,,,0,0,221254,2,2,1,2,6,33851,91,2,2,7275,91,15500,2,3,8,4,24584,179,98.7,0,0,45,246,2,2,2,7,15,2,15,1,3,5,3,7,3,5,14,5,9,0,0,0,3,55.6,100,0,0,335374,47726,13800,37245
N,3000, 36 months,0.15,104.46,C,C5,Senior Software Engineer,< 1 year,MORTGAGE,180000,Verified,16-Mar,Fully Paid,n,small_business,Business,750xx,TX,2.46,0,3-Aug,0,,,5,0,14031,0.75,13,16-Jul,2862.48,,16-Oct,0,,INDIVIDUAL,,,,0,0,195496,0,0,0,0,62,0,,0,0,8617,75,18600,1,1,1,1,39099,2269,86.1,0,0,151,116,34,22,1,34,,8,,0,3,3,3,5,4,4,8,3,5,0,0,0,0,100,66.7,0,0,205158,14031,16300,0
Y,6150, 36 months,0.22,236.31,E,E5,IT Technitian ,8 years,MORTGAGE,58000,Source Verified,16-Feb,Charged Off,n,small_business,Business,302xx,GA,35.05,1,2-May,2,19,,17,0,36262,0.45,29,16-Jul,236.31,,16-Dec,0,19,INDIVIDUAL,,,,0,0,160751,0,2,0,1,19,12956,34,0,1,3030,42,79300,0,1,2,2,10047,41112,27.6,0,0,59,154,24,19,3,24,19,2,19,1,10,11,12,19,3,14,23,11,17,0,0,1,0,96.3,41.7,0,0,243260,49218,57300,38360
Y,35000, 36 months,0.15,1218.61,C,C5,attorney,10+ years,MORTGAGE,535000,Verified,16-Mar,Charged Off,n,small_business,Business,360xx,AL,15.69,8,Apr-85,4,7,,11,0,1517,0.27,52,16-Jul,1218.61,,16-Dec,0,7,INDIVIDUAL,,,,0,0,646929,1,2,1,1,2,124323,,0,0,899,27,5600,9,0,11,1,71881,1301,40.9,3,0,98,370,26,2,1,40,18,1,7,5,1,2,4,16,15,8,36,2,11,0,0,5,1,82.4,33.3,0,0,748890,125840,2200,183290
Y,2500, 36 months,0.11,81.56,B,B4,Manager,10+ years,RENT,30000,Source Verified,16-Mar,Charged Off,n,small_business,Business,249xx,WV,27,0,May-83,0,54,,10,0,7447,0.41,25,16-Jul,81.56,,16-Dec,0,54,INDIVIDUAL,,,,0,0,26833,0,2,0,2,18,19386,82,0,2,2176,64,18000,1,2,1,4,2683,5553,57.3,0,0,146,393,13,13,1,13,,9,,0,4,4,6,10,6,8,18,4,10,0,0,0,0,96,50,0,0,41641,26833,13000,23641
N,2000, 36 months,0.19,73.31,D,D4,owner/trainer,6 years,RENT,57000,Source Verified,16-Feb,Fully Paid,n,small_business,,941xx,CA,0,0,Dec-96,0,,51,2,1,0,0.00,12,16-Jul,1880.92,,16-Dec,0,,INDIVIDUAL,,,,0,0,0,0,0,0,0,192,0,,0,1,0,0,3700,0,2,0,1,0,3000,0,0,0,230,109,15,15,0,15,,15,,0,0,0,1,2,8,2,4,0,2,0,0,0,0,100,0,0,1,3700,0,3000,0
Y,10000, 36 months,0.14,344.02,C,C4,Owner,9 years,MORTGAGE,135000,Not Verified,16-Feb,Charged Off,n,small_business,Business,177xx,PA,26.26,1,Dec-98,1,6,,14,0,26870,0.70,27,16-Jul,344.02,,16-Dec,0,,INDIVIDUAL,,,,0,100,413837,1,8,3,5,5,126260,85,0,0,18478,82,38300,2,0,5,5,29560,5040,81.9,0,0,149,205,30,5,2,55,,1,,0,2,4,2,3,15,5,10,4,14,0,0,0,3,96.2,50,0,0,455507,153130,27800,148407
N,20000, 36 months,0.12,664.2,C,C1,Assistant Finance,1 year,OWN,65000,Source Verified,16-Jan,Fully Paid,n,small_business,Business,303xx,GA,1.38,0,2-Apr,0,,,2,0,5608,0.45,8,16-Jul,5394.58,,16-Jul,0,,INDIVIDUAL,,,,0,0,5608,0,0,0,0,110,0,,0,1,4855,45,12400,0,0,0,1,2804,6792,45.2,0,0,133,165,15,15,0,15,,15,,0,2,2,2,2,6,2,2,2,2,0,0,0,0,100,0,0,0,12400,5608,12400,0
N,25000, 36 months,0.19,916.28,D,D3,Owner,5 years,MORTGAGE,100000,Not Verified,16-Aug,Fully Paid,n,small_business,Business,329xx,FL,12.4,1,8-May,0,3,,20,0,1553,0.02,29,16-Aug,25044.31,,16-Aug,0,,INDIVIDUAL,,,,0,175,247312,1,2,1,1,3,37773,74,2,12,1015,28,87000,2,1,5,13,13016,71364,2,0,0,82,99,11,3,2,11,,3,3,0,5,7,9,9,6,17,21,7,20,0,0,0,3,92.3,0,0,0,359886,39326,72800,51244
N,20000, 36 months,0.14,683.46,C,C3,Warehouse Manager,7 years,RENT,60000,Not Verified,16-Aug,Fully Paid,n,small_business,Business,913xx,CA,17.78,0,9-Dec,0,,,7,0,9519,0.69,12,16-Aug,20163.22,,16-Aug,0,,INDIVIDUAL,,,,0,0,15584,0,2,0,1,24,6065,28,0,1,4067,44,13800,0,0,0,2,2226,3781,71.6,0,0,36,80,23,23,0,23,,23,,0,4,4,4,7,3,5,9,4,7,0,0,0,0,100,75,0,0,35800,15584,13300,22000
N,1000, 36 months,0.11,32.98,B,B5,Director,4 years,RENT,53000,Source Verified,16-Jul,Fully Paid,n,small_business,Business,940xx,CA,1.7,2,4-Mar,0,10,,23,0,2721,0.10,41,16-Aug,1008.94,,16-Dec,0,53,INDIVIDUAL,,,,0,0,195150,0,11,1,3,11,92435,114,1,3,2080,88,27700,0,1,1,6,8485,10179,21.1,0,0,131,147,9,9,2,9,10,9,10,8,3,3,6,6,22,11,17,3,23,0,0,0,2,74.4,0,0,0,213840,95156,12900,81040
N,6000, 36 months,0.07,185.19,A,A3,FInancial Advisor,4 years,RENT,35000,Source Verified,16-May,Fully Paid,n,small_business,Business,802xx,CO,1.61,0,4-Jun,0,,,4,0,669,0.02,5,16-Aug,2382.37,,16-Aug,0,,INDIVIDUAL,,,,0,0,669,0,0,0,0,,0,,1,1,555,2,30200,0,0,0,1,223,28531,2.3,0,0,,142,11,11,0,68,,,,0,2,2,3,3,0,4,5,2,4,0,0,0,1,100,0,0,0,30200,669,29200,0
Y,18000, 36 months,0.20,664.65,D,D5,Nursing Supervisor,4 years,MORTGAGE,140000,Source Verified,16-Apr,Late (31-120 days),n,small_business,Business,773xx,TX,17.75,0,6-Jul,3,,,20,0,18045,0.42,26,16-Aug,664.65,17-Jan,16-Dec,0,,INDIVIDUAL,,,,0,0,254492,4,2,3,4,8,54195,84,13,13,4775,67,42600,4,1,10,18,12725,19155,48.5,0,0,117,117,3,3,1,3,,1,,0,11,11,12,14,8,15,17,11,20,0,0,0,17,100,16.7,0,0,291907,72240,37200,64723
Y,6000, 36 months,0.14,204.11,C,C3,GENERAL MANAGER,1 year,RENT,52000,Source Verified,16-Apr,Late (31-120 days),n,small_business,Business,891xx,NV,37.73,0,1-Jan,0,42,,9,0,34985,0.85,23,16-Aug,204.11,17-Jan,16-Dec,0,42,INDIVIDUAL,,,,0,0,79260,0,2,1,2,11,44275,81,1,1,14505,84,41300,4,3,8,3,9908,5515,86.4,0,0,137,183,9,9,5,9,,2,,4,5,5,5,5,10,7,8,5,9,0,0,0,2,82.6,80,0,0,92174,79260,40500,50874
N,16100, 36 months,0.18,584.08,D,D3,leasing consultant,< 1 year,OWN,37200,Verified,16-Apr,Fully Paid,n,small_business,Business,276xx,NC,5.23,0,11-Aug,1,27,,6,0,5533,0.47,7,16-Aug,15422.7,,16-Nov,0,,INDIVIDUAL,,,,0,0,5533,2,0,0,0,36,0,,5,5,4519,47,11700,0,0,5,5,922,5396,50,0,0,36,56,5,5,0,5,,1,,0,4,6,4,4,1,6,6,6,6,0,0,0,5,85.7,0,0,0,11700,5533,10800,0
Y,20000, 36 months,0.13,673.79,C,C2,HR Director,6 years,MORTGAGE,75000,Not Verified,16-Apr,Charged Off,n,small_business,Business,554xx,MN,26.48,0,Dec-95,1,,,13,0,25299,0.69,27,16-Aug,400,,16-Dec,0,,INDIVIDUAL,,,,0,0,186785,2,3,2,4,4,46120,86,1,4,10351,79,36800,0,2,2,8,14368,6503,69.5,0,0,244,219,7,4,3,7,,4,,0,3,7,4,6,11,8,13,7,13,0,0,0,3,100,25,0,0,223268,71419,21300,53468
N,10000, 36 months,0.08,312.86,A,A5,Owner,10+ years,RENT,125000,Not Verified,16-Apr,Fully Paid,n,small_business,Business,921xx,CA,15.05,0,Jun-94,1,,55,8,2,18708,0.77,26,16-Aug,2.02,,16-Aug,0,,INDIVIDUAL,,,,0,70,52399,2,2,0,0,30,33691,63,2,2,5641,71,24200,0,0,1,2,6550,3615,82.5,0,0,162,261,3,3,0,3,,5,,0,4,6,4,15,6,6,20,6,8,0,0,0,2,76.9,100,0,2,84920,52399,20700,60720
Y,19000, 36 months,0.27,771.31,F,F5,Cell lead/cable Assembler,4 years,RENT,38000,Verified,16-Mar,Charged Off,n,small_business,Business,175xx,PA,18.41,0,5-May,3,,,10,0,6146,0.33,33,16-Aug,771.31,,16-Dec,0,,INDIVIDUAL,,,,0,0,24577,0,1,2,3,8,18431,88,2,5,4009,62,18900,2,0,12,8,2731,7424,45,0,0,130,121,7,7,0,7,,1,,0,3,5,5,22,6,9,27,5,10,0,0,0,4,100,40,0,0,39758,24577,13500,20858
N,15000, 36 months,0.07,462.96,A,A3,Carpenter Forman,9 years,RENT,90000,Not Verified,16-Mar,Fully Paid,n,small_business,Business,190xx,PA,16.59,0,7-May,0,,,10,0,4233,0.33,15,16-Aug,13599.87,,16-Oct,0,,INDIVIDUAL,,,,0,0,49341,0,2,0,2,15,45108,34,0,0,2862,30,13000,3,0,0,2,4934,7367,36.5,0,0,64,106,26,15,0,26,,15,,0,5,5,6,7,5,7,9,5,10,0,0,0,0,100,0,0,0,77206,49341,11600,61661
N,12000, 36 months,0.11,395.55,B,B5,owner,9 years,MORTGAGE,180000,Not Verified,16-Feb,Fully Paid,n,small_business,Business,254xx,WV,6.3,0,1-Jun,0,,22,8,2,2648,0.60,10,16-Aug,10751.51,,16-Oct,0,,INDIVIDUAL,,,,0,0,300549,0,3,0,0,27,19897,41,0,0,2648,43,4400,0,0,2,0,42936,152,94.6,0,0,169,176,26,26,1,70,,4,,0,1,1,1,2,3,4,6,1,8,0,0,0,0,100,100,1,1,458498,22545,2800,48598
N,5600, 36 months,0.13,188.66,C,C2,Partner/owner,10+ years,RENT,39845,Not Verified,16-Feb,Fully Paid,n,small_business,Business,928xx,CA,22.44,0,6-Jan,0,,,9,0,9044,0.49,17,16-Aug,5004.54,,16-Aug,1,,INDIVIDUAL,,,,0,126,24106,0,1,0,0,40,15062,53,0,2,7340,51,18600,0,0,0,2,3013,1570,83.6,0,0,114,121,19,19,0,19,,19,,0,3,4,3,5,2,8,15,4,9,0,0,0,0,100,66.7,0,0,47161,24106,9600,28561
N,12000, 36 months,0.14,408.22,C,C3,OWNER-PHYSICIAN,9 years,RENT,100000,Source Verified,16-Feb,Fully Paid,n,small_business,Business,347xx,FL,24.97,0,Dec-91,2,60,,9,0,13215,0.58,25,16-Aug,10845.68,,16-Oct,0,60,INDIVIDUAL,,,,0,0,144325,1,4,1,2,4,131110,24,0,2,3806,40,22700,6,0,11,4,16036,6596,51.9,0,0,290,276,17,4,1,17,64,1,63,7,4,5,4,8,11,5,13,5,9,0,0,0,1,62.5,25,0,0,164275,144325,13700,141575
Y,10000, 36 months,0.13,336.37,C,C2,Owner,10+ years,OWN,90000,Not Verified,16-Jan,Charged Off,n,small_business,Business,342xx,FL,11.64,2,Aug-80,0,10,71,9,2,7576,0.43,13,16-Aug,336.37,,16-Dec,0,11,INDIVIDUAL,,,,0,0,20176,0,3,0,1,20,12600,51,1,3,3443,48,17500,1,0,2,4,2882,5139,45.9,0,0,112,195,8,8,1,18,10,8,10,1,2,4,2,3,3,4,7,4,9,0,0,1,1,76.9,50,0,2,42406,20176,9500,24906
Y,8950, 36 months,0.19,330.25,E,E2,Exchange Admin,< 1 year,MORTGAGE,95000,Source Verified,16-Jan,Charged Off,n,small_business,Business,302xx,GA,14.34,1,5-Sep,2,5,,10,0,3537,0.60,19,16-Aug,677.01,,16-Dec,0,,INDIVIDUAL,,,,0,0,25855,0,2,0,1,13,22318,71,3,8,814,69,5900,1,0,8,9,2586,1714,56.1,0,0,124,24,8,8,0,8,5,4,5,0,6,8,6,6,11,8,8,8,10,0,0,0,3,94.7,16.7,0,0,37525,25855,3900,31625
N,20000, 36 months,0.17,715.75,D,D3,Senior Guard Shift Supervisor,3 years,MORTGAGE,130000,Source Verified,16-Jan,Fully Paid,n,small_business,Business,786xx,TX,30.08,0,4-Oct,0,,,9,0,55184,0.79,29,16-Aug,17676.9,,16-Aug,0,,INDIVIDUAL,,,,0,0,262256,0,4,0,2,14,60181,48,2,2,12748,55,61000,0,9,4,4,29140,1579,90.7,0,0,134,111,10,10,5,10,,2,,0,2,4,2,2,17,4,7,4,9,0,0,0,2,100,100,0,0,327190,115365,17000,109782
N,12150, 36 months,0.26,489.92,F,F5,manager,4 years,RENT,26000,Verified,16-Jan,Fully Paid,n,small_business,Business,137xx,NY,30.29,0,12-Oct,0,,,18,0,7544,0.29,23,16-Aug,11155.03,,16-Nov,0,,INDIVIDUAL,,,,0,0,16242,2,1,2,4,4,8698,79,4,6,3748,44,26300,2,0,3,10,902,12447,36.2,0,0,21,38,7,4,0,7,,7,,0,3,4,10,11,4,17,19,5,18,0,0,0,6,100,10,0,0,37288,16242,19500,10988
N,5000, 36 months,0.10,162.49,B,B3,Program Director,10+ years,MORTGAGE,47500,Source Verified,16-Aug,Fully Paid,n,small_business,Business,548xx,WI,18.67,0,Nov-92,0,,,5,0,23511,0.96,8,16-Sep,5004.81,,16-Oct,0,,INDIVIDUAL,,,,0,0,135858,0,1,0,0,142,38673,,1,1,18831,96,24400,0,0,0,1,27172,889,96.4,0,0,142,285,12,12,1,12,,,,0,3,3,3,5,1,3,6,3,5,0,0,0,1,100,66.7,0,0,146565,62184,24400,40765
N,21000, 36 months,0.21,796.47,D,D5,Operations,10+ years,OWN,50000,Not Verified,16-Aug,Fully Paid,n,small_business,Business,890xx,NV,29.12,0,Jul-00,0,69,70,15,1,8075,0.33,44,16-Sep,21204.34,,16-Oct,0,,INDIVIDUAL,,,,0,0,45252,0,2,2,4,9,37177,88,2,3,2346,68,24700,3,5,2,7,3771,10854,17.8,0,0,93,193,10,9,3,23,,4,,0,1,4,4,21,7,12,32,4,14,0,0,0,4,97.1,25,1,0,67079,45252,13200,42379
N,16000, 36 months,0.14,550.66,C,C4,EVP Cust. Svc. Fulfillment Logistics,10+ years,OWN,246000,Source Verified,16-Aug,Fully Paid,n,small_business,Business,070xx,NJ,6.42,5,Feb-89,0,14,,10,0,5448,0.40,20,16-Sep,16217.9,,16-Oct,0,14,INDIVIDUAL,,,,0,0,517159,2,3,2,2,3,37002,64,0,1,3054,59,13700,2,0,5,3,51716,7254,42.9,0,0,174,195,15,3,3,15,23,1,23,1,3,4,5,7,7,6,9,4,10,0,0,1,2,63.2,20,0,0,680893,42450,12700,58220
N,1500, 36 months,0.13,50.39,C,C1,Accountant,< 1 year,RENT,60000,Source Verified,16-Aug,Fully Paid,n,small_business,Business,805xx,CO,16.49,0,6-Jun,2,,,12,0,15457,0.23,17,16-Sep,509.35,,16-Dec,0,,INDIVIDUAL,,,,0,0,57015,1,4,2,2,2,41558,66,0,2,6750,44,67700,0,0,2,4,4751,48243,24.3,0,0,95,122,23,2,0,23,,1,,0,4,4,7,10,5,8,12,4,12,0,0,0,2,100,14.3,0,0,130293,57015,63700,62593
N,20000, 36 months,0.11,659.43,B,B5,Professional,10+ years,MORTGAGE,110000,Verified,16-Jul,Fully Paid,n,small_business,Business,190xx,PA,24.22,0,Jun-81,3,38,,33,0,83634,0.18,49,16-Sep,19804.26,,16-Nov,0,38,INDIVIDUAL,,,,0,0,237735,2,3,1,1,4,59548,22,1,3,5551,19,167600,2,3,4,4,7204,46783,21.6,0,0,131,420,6,4,4,6,,0,39,1,8,14,13,19,5,27,40,14,33,0,0,0,2,100,0,0,0,442974,143182,59700,101174
Y,28000, 36 months,0.17,998.14,D,D1,Owner,1 year,MORTGAGE,100000,Not Verified,16-Jun,Late (31-120 days),n,small_business,Business,900xx,AR,11.9,0,Sep-00,2,78,23,3,1,9787,0.63,8,16-Sep,2046.19,17-Jan,16-Dec,0,78,INDIVIDUAL,,,,0,606,77090,1,1,0,0,114,67303,,1,1,9533,63,15500,0,0,3,1,25697,5713,63.1,0,0,189,125,5,5,0,5,78,0,78,1,2,2,2,4,3,2,5,2,3,0,0,0,1,100,0,0,0,110500,77090,15500,95000
N,15000, 36 months,0.11,494.57,B,B5,CEO,7 years,MORTGAGE,180000,Verified,16-Jun,Fully Paid,n,small_business,Business,463xx,IN,12.83,0,Mar-96,1,65,,14,0,13166,0.42,22,16-Sep,14453.87,,16-Dec,0,,INDIVIDUAL,,,,0,0,384906,2,4,1,1,8,91921,52,2,3,3405,49,31100,0,0,1,4,27493,6371,54.8,0,0,110,243,5,5,1,6,67,6,67,0,5,8,5,7,10,9,11,8,14,0,0,0,3,86.4,20,0,0,444337,105087,14100,123679
N,6000, 36 months,0.11,195.73,B,B4,AVP; Operations Manager,10+ years,MORTGAGE,72000,Verified,16-Jun,Fully Paid,n,small_business,Business,231xx,VA,11.77,0,4-Mar,0,,,9,0,10377,0.58,19,16-Sep,5797.58,,16-Dec,0,,INDIVIDUAL,,,,0,0,356734,1,1,0,0,26,27050,80,1,4,3257,73,17800,2,4,2,5,44592,5544,51.8,0,0,71,146,11,1,3,11,,2,,0,3,5,4,6,3,6,13,5,9,0,0,0,2,100,33.3,0,0,386519,37427,11500,33719
N,9100, 36 months,0.25,361.77,E,E5,sous chef,1 year,MORTGAGE,52000,Verified,16-Jun,Fully Paid,n,small_business,Business,080xx,NJ,26.98,0,5-Sep,2,48,76,19,1,8289,0.19,32,16-Sep,8946.05,,16-Oct,0,,INDIVIDUAL,,,,0,0,165961,5,3,5,6,2,42213,88,3,8,5865,56,43000,3,0,5,14,8735,31823,15.6,0,0,95,112,6,2,1,8,,2,,0,3,6,12,18,9,15,22,6,19,0,0,0,8,96.9,8.3,0,0,242541,50502,37700,47741
N,15000, 36 months,0.07,465.84,A,A4,Occupational Therapist,< 1 year,RENT,70000,Source Verified,16-Jun,Fully Paid,n,small_business,Business,303xx,GA,10.49,0,6-May,0,,,8,0,638,0.02,13,16-Sep,14401.19,,16-Oct,0,,INDIVIDUAL,,,,0,0,44487,1,2,0,1,17,43849,62,1,1,638,15,37700,0,0,0,2,7415,37062,1.7,0,0,119,120,2,2,2,2,,,,0,1,1,4,4,4,6,7,1,8,0,0,0,1,100,0,0,0,108635,44487,37700,70935
Y,17275, 36 months,0.13,581.98,C,C2,District Manager,4 years,MORTGAGE,90000,Not Verified,16-May,Late (31-120 days),n,small_business,Business,852xx,AZ,22.77,0,Sep-92,0,30,,12,0,24249,0.23,23,16-Sep,581.98,17-Jan,16-Dec,0,,INDIVIDUAL,,,,0,0,300528,0,2,0,1,18,38266,62,0,0,11973,38,103700,0,0,0,1,25044,48491,33.3,0,0,284,185,26,18,2,26,30,,30,0,4,5,7,11,7,9,13,5,12,0,0,0,0,95.7,28.6,0,0,422517,62515,72700,61442
N,7500, 36 months,0.12,249.08,C,C1,technician,3 years,OWN,42000,Source Verified,16-Jun,Fully Paid,n,small_business,Business,981xx,WA,3.68,0,5-Oct,1,,,8,0,7326,0.27,22,16-Sep,7256.26,,16-Oct,0,,INDIVIDUAL,,,,0,0,258008,0,1,1,1,10,363,26,1,3,4054,27,26800,0,9,2,5,32251,5946,40.5,0,0,110,127,10,10,1,10,,5,,0,1,3,2,4,9,6,12,3,8,0,0,0,2,100,50,0,0,284710,7689,10000,1410
Y,10000, 36 months,0.13,336.9,C,C2,Owner,2 years,OWN,120000,Not Verified,16-May,Late (31-120 days),n,small_business,Business,757xx,TX,13.48,0,5-Sep,2,,,8,0,13104,0.52,15,16-Sep,336.9,17-Jan,16-Dec,0,,INDIVIDUAL,,,,0,0,29891,1,1,0,1,21,16787,,1,2,2896,52,25200,1,0,2,3,3736,4074,58,0,0,78,127,2,2,0,19,,2,,0,4,7,4,8,4,7,11,7,8,0,0,0,1,100,50,0,0,80011,29891,9700,54811
N,22575, 36 months,0.18,818.98,D,D3,Land Development Manager,9 years,OWN,96000,Not Verified,16-May,Fully Paid,n,small_business,Business,028xx,RI,14.54,1,3-Feb,0,17,67,10,1,10599,0.43,17,16-Sep,21468.95,,16-Oct,0,,INDIVIDUAL,,,,0,0,19675,2,4,2,2,4,9076,24,2,2,4666,31,24500,1,1,4,4,1968,5206,63.8,0,0,159,134,12,4,0,12,,1,,0,3,4,3,5,9,6,8,4,10,0,0,0,4,100,66.7,0,1,63107,19675,14400,38607
N,20000, 36 months,0.14,688.03,C,C4,owner,1 year,OWN,80000,Source Verified,16-May,Fully Paid,n,small_business,Business,928xx,CA,10.37,0,12-Aug,0,25,,11,0,3157,0.21,13,16-Sep,19035.28,,16-Dec,0,,INDIVIDUAL,,,,0,0,21795,0,1,0,2,14,18638,76,2,4,1704,55,15000,6,0,5,6,1981,9143,25.7,0,0,35,45,7,7,0,7,,7,25,0,5,5,6,7,3,9,10,5,11,0,0,0,2,92.3,16.7,0,0,39660,21795,12300,24660
Y,8000, 36 months,0.17,286.3,D,D2,Global Manager,9 years,MORTGAGE,190000,Source Verified,16-May,Late (31-120 days),n,small_business,Business,346xx,FL,30.32,0,Sep-91,1,40,,20,0,44424,0.77,48,16-Sep,286.3,17-Jan,16-Dec,0,55,INDIVIDUAL,,,,0,0,454387,1,6,5,6,6,125009,78,1,6,13955,78,57500,3,2,4,12,22719,5244,89.3,0,0,296,212,7,6,7,7,,1,,6,8,9,9,17,19,12,22,9,20,0,0,0,6,87.2,77.8,0,0,509454,169433,48800,157574
N,30000, 36 months,0.14,1032.05,C,C4,construction,10+ years,MORTGAGE,130000,Not Verified,16-May,Fully Paid,n,small_business,Business,982xx,WA,17.71,0,1-Nov,1,,,10,0,125108,0.84,23,16-Sep,28333.84,,16-Oct,0,,INDIVIDUAL,,,,0,0,356675,3,0,0,0,,0,0,4,4,21443,84,149701,0,0,1,4,35667,8967,72,0,0,,173,2,2,7,2,,6,,0,6,9,6,6,0,9,19,7,10,,0,0,4,100,33.3,0,0,395201,38478,53800,0
N,20000, 36 months,0.11,652.41,B,B4,Owner,2 years,RENT,70000,Source Verified,16-May,Fully Paid,n,small_business,Business,945xx,CA,15.29,0,7-Jul,0,,,6,0,2275,0.08,18,16-Sep,18812.95,,16-Oct,0,,INDIVIDUAL,,,,0,0,30642,0,2,1,2,8,28367,70,0,0,2275,43,30100,1,0,1,2,5107,27825,7.6,0,0,13,105,38,8,0,38,,8,,0,1,1,4,13,2,4,15,1,6,0,0,0,1,100,0,0,0,70796,30642,30100,40696
N,12000, 36 months,0.15,417.81,C,C5,Admin,5 years,RENT,80000,Not Verified,16-Apr,Fully Paid,n,small_business,Business,972xx,OR,10.38,0,4-Mar,0,,,9,0,15478,0.46,18,16-Sep,11477.87,,16-Dec,0,,INDIVIDUAL,,,,0,0,31263,0,1,0,0,36,15785,61,2,2,3930,53,33600,0,4,1,2,3908,7533,48,0,0,69,145,10,10,0,10,,9,,0,2,4,2,4,3,8,15,4,9,0,0,0,2,100,50,0,0,59443,31263,14500,25843
